"Ward","Total2010","White2010","Black2010","Asian2010","HisLat2010","Other2010","Whiteperc","Blackperc","Asianperc","Hisperc","otherperc","PERCENT OF HOUSING CROWDED","PERCENT HOUSEHOLDS BELOW POVERTY","PERCENT AGED 16+ UNEMPLOYED","PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA","PERCENT AGED UNDER 18 OR OVER 64","PER CAPITA INCOME","HARDSHIP INDEX","Birth Rate","General Fertility Rate","Low Birth Weight","Prenatal Care Beginning in First Trimester","Preterm Births","Teen Birth Rate","Assault (Homicide)","Breast cancer in females","Cancer (All Sites)","Colorectal Cancer","Diabetes-related","Firearm-related","Infant Mortality Rate","Lung Cancer","Prostate Cancer in Males","Stroke (Cerebrovascular Disease)","Childhood Blood Lead Level Screening","Childhood Lead Poisoning","Gonorrhea in Females","Gonorrhea in Males","Tuberculosis","Below Poverty Level","Crowded Housing","Dependency","No High School Diploma","Per Capita Income","Unemployment"
11,51497,19210,2302,17277,11886,822,0.373031438724586,0.0447016331048411,0.335495271569218,0.230809561722042,0.0159620948793134,5.52156824669398,23.1063498844593,14.792925801503,25.0104006058605,32.0184981649416,23070.0149717459,51.0077091869429,13.5795560906461,57.7494475406334,8.95785579742509,79.399359185972,11.3466959240344,35.3485814707653,7.87494417150514,18.7522865409636,177.847490145057,18.5771287647824,54.2164397926093,7.03599821348816,7.18933335922481,56.3846126958852,20.5308231547469,41.327523933433,424.44328213294,0.627079247334796,281.222698409616,184.016000932093,12.0052430238655,21.8863759053925,5.79188302231198,33.0782899974756,27.902268093287,24167.6856515914,11.9045148261064
12,52235,4517,1085,3725,42577,331,0.0864745860055518,0.0207715133531157,0.0713123384703743,0.815104814779362,0.00633674739159567,12.7672460993587,25.032552885996,14.5556733990619,45.5089461089308,36.2212654350531,13095.2622379631,82.4836412367187,19.1487718962382,87.8051153441179,7.41253182731885,82.9758935579592,9.24903417248971,63.0210682492582,9.61574806164449,23.1806585622667,137.838619699435,11.9256245812195,65.8057796496602,8.8507762994161,6.28782425576721,26.3464114099742,17.9535847611755,41.5780204843496,576.369149038001,0.834631951756485,189.104609935867,86.5837760242175,10.1157786924476,23.1557212596918,13.1860993586676,35.6448358380396,47.7778118120034,13388.5592227434,11.5461051019431
13,53722,17789,933,389,34260,351,0.331130635493839,0.0173671866274524,0.00724098134842336,0.637727560403559,0.00653363612672648,5.17272439596441,12.3495327798667,10.7377889877518,27.6195636796843,38.5032910167157,20479.1856595063,46.2585719072261,17.1129928148617,78.0404191951156,7.1504002084807,83.7731264658799,8.20726890287033,41.6262629835077,9.50313651762779,19.9200569599047,173.881901269499,18.3118275566807,67.9434291351774,10.0066434607796,7.3879285953613,49.3642772048695,24.0151818621794,46.4613082163732,420.702641375973,0.223761215144633,381.322029702682,352.022333291063,3.09576709727858,10.7047280443766,5.49126614794684,39.3436897360485,27.8103142101932,19649.8995942072,9.24258962808533
14,54031,9115,786,758,43164,208,0.16869945031556,0.0145472043826692,0.0140289833614036,0.798874720068109,0.00384964187225852,11.721185985823,18.8285632322185,16.08819936703,41.6345690436971,38.8050008328552,15691.2104347504,75.4118561566508,19.3710999241176,85.7981510614277,7.43832429531195,79.6728840850623,8.11928337435916,53.6199126427421,11.8181192278507,25.4847976161833,177.530399215265,14.5736392071218,68.9065666006552,11.5471247987267,5.26794617904536,41.2151339046103,32.0695730228943,46.1085691547445,536.121643130795,0.619603560918732,313.013254456932,271.677648103635,5.75416890303715,17.2581258906924,12.3580426051711,40.1768614314005,43.4103570172679,15323.2839851197,12.6351964612907
15,51501,2442,11405,483,36874,297,0.0474165550183492,0.22145201064057,0.00937845867070542,0.715986097357333,0.00576687831304246,11.7578008194016,27.5149065066698,21.5414516222986,40.583978951865,39.413770606396,12572.9727772276,87.8718859827965,20.8805304751364,92.2247645676783,10.4610512417235,76.5198695170968,10.5865070581154,81.939865245335,23.3652958194987,27.9856585309023,194.405275625716,20.5759655152327,77.7044329236326,20.9524028659638,7.99715733675074,49.5503893128289,37.0746179685831,48.2597716549193,546.888943904002,1.19759422147143,946.225801440749,727.268309353216,10.3708083338188,27.2200695132133,11.8838857497913,40.7836236189588,43.1030484844954,12353.1365992893,18.0850896099105
16,51954,728,35474,83,15170,499,0.014012395580706,0.68279631982138,0.0015975670785695,0.2919890672518,0.00960465026754437,7.8950725641914,32.039473380298,24.4204334603688,33.4598952919891,40.4814797705663,12341.4718404743,87.5286599684336,20.516441467452,89.4188089463756,11.846645109135,73.2564345382454,11.5674827732225,88.3641914000847,31.2269045694268,29.4390537783424,213.791738845902,25.0684451630288,81.6472918350849,27.9918851291527,10.8787273357201,56.2534434307272,45.8024290718713,61.2093698271548,498.764772683528,1.70367632906032,1657.40517765716,1489.01317319167,8.37105131462448,28.752773607422,8.45685029064172,41.0622242753205,35.1931978288486,12512.6930361474,20.0705046772145
17,51846,1134,41917,105,8183,507,0.0218724684642981,0.808490529645489,0.00202522856150908,0.157832812560275,0.00977896076842958,5.49287698183081,29.620796204143,25.2305346603402,24.9611310419319,41.0906685183042,13891.8771361339,79.0463102264398,18.2290842109324,81.453068703468,11.9214384909154,72.6641071635227,12.7736373104965,83.8792790186321,34.520232997724,34.3470142344636,219.4268236701,25.397602515141,80.7381321606296,29.7297766462215,13.1388496701771,56.9232804845118,42.8597365274081,62.6399085753964,457.864396481889,1.60912510126143,1877.36706592601,1787.42965899009,7.33253288585426,25.696130849053,5.52300852524785,41.0257744088261,26.2691548046137,14408.2071712379,21.1898603556687
18,52992,6715,28827,336,16524,590,0.126717240338164,0.54398777173913,0.00634057971014493,0.311820652173913,0.0111337560386473,4.59069293478261,14.1167515851449,13.3910212862319,20.0997678894928,37.7852638134058,21355.9872999698,45.9772229770531,15.6290043780193,71.8496395682367,9.17852506038647,81.230193236715,11.3129698822464,45.3203974184783,15.271958031401,35.2264530495169,220.901351147343,23.295491772343,78.8864639945652,13.8884246678744,10.598828125,59.4055310235507,40.5601147342995,50.4320444595411,396.258878698672,0.425192481884058,705.11574388587,755.270255887681,4.692789477657,12.3701181310386,4.59463503925121,37.5828106129227,20.6772626056763,20461.6611752717,10.0850335899758
19,51525,34595,13052,314,2786,778,0.671421639980592,0.253313925278991,0.00609412906356138,0.0540708393983503,0.0150994662785056,0.912310528869481,6.47441824357108,9.99155943716642,5.67924890829694,39.0794449296458,34555.6112372635,17.9363803978651,12.1002328966521,61.7527297428433,7.6074332848132,85.8456496846191,12.4207879670063,18.9550101892285,7.0764987869966,36.8823250849102,203.99447840854,25.3691411935953,66.0666026200873,7.9888442503639,8.28436487142164,51.0506123241145,33.1859699175158,43.5966715186803,191.859699175158,0.818274623968947,608.509431980835,678.707706908054,0.643377001455604,6.52517612809316,0.872968461911693,38.2432683163513,6.31289082969432,34480.8593304221,9.22341193595342
20,52372,2023,41397,694,7477,781,0.0386275108836783,0.790441457267242,0.0132513556862446,0.142767127472695,0.0149125486901398,6.00599557015199,34.2336534789582,24.7380737798824,26.6172057588024,39.1098258611472,15204.4628809287,77.5276101733751,18.3896337737722,76.1955720614069,15.2180860001528,73.7008439624227,14.7171007408539,77.6970155808447,34.9499446268999,29.0249236233102,245.52137401665,27.9406514931643,86.8905464752158,31.0610459787673,12.118561445047,72.6607977545253,55.1610536164363,56.2552451691744,478.521276636371,1.38007904987398,1643.36185939051,1593.37393263576,11.6564729244635,32.4858149392805,5.75488619873215,40.4659741846788,28.0369395860383,15134.239479111,18.9061769647903
